customer,item,total,quantity,date
bellwether,Цаворит,612,6,2018-12-14 08:29:52.506166
resplendent,Сапфир,8502,6,2018-12-14 14:43:45.883282
buckaroo,Рубин,342,2,2018-12-15 15:00:59.858739
zygote4id3n,Яшма,264,3,2018-12-16 00:01:13.013713
nambypamby,Берилл,660,5,2018-12-16 01:58:57.047891
bellwether,Опал,3136,8,2018-12-16 03:35:54.925057
turophile,Изумруд,2228,2,2018-12-17 14:11:50.787893
nambypamby,Кварц,75,1,2018-12-18 11:41:47.643247
viperliamk0125,Спессартин,124,2,2018-12-18 19:43:49.082618
nambypamby,Сердолик,450,10,2018-12-19 06:57:39.285632
bellwether,Кварц,395,5,2018-12-19 09:55:57.934676
